subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial024_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial024_label1_GT.png,0.671367,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial027_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial027_label1_GT.png,0.590852,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial040_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial040_label1_GT.png,0.598302,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial054_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial054_label1_GT.png,0.592671,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial059_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial059_label1_GT.png,0.584527,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial071_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial071_label2_GT.png,0.586402,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial089_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial089_label2_GT.png,0.571163,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial090_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial090_label2_GT.png,0.579656,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial096_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial096_label2_GT.png,0.591746,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial098_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_193019_subj15_g1_cls1-3_128\subj15_g1_trial098_label2_GT.png,0.401922,
