subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial182_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial182_label4_GT.png,-0.008637,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial189_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial189_label4_GT.png,-0.001901,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial196_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial196_label4_GT.png,-0.001538,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial207_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial207_label4_GT.png,-0.011882,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial220_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial220_label4_GT.png,-0.001108,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial222_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial222_label4_GT.png,0.034662,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial236_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial236_label4_GT.png,0.014865,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial264_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial264_label5_GT.png,0.050627,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial300_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial300_label6_GT.png,0.170200,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial304_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial304_label6_GT.png,0.054274,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial306_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial306_label6_GT.png,0.012044,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial309_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial309_label6_GT.png,0.061621,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial324_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial324_label6_GT.png,0.247233,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial330_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial330_label6_GT.png,0.136096,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial331_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial331_label6_GT.png,0.241619,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial333_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial333_label6_GT.png,0.012126,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial348_label6_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260110_010513_subj15_g2_cls4-6_128\subj15_g2_trial348_label6_GT.png,0.150719,
