subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial007_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial007_label1_GT.png,0.508738,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial009_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial009_label1_GT.png,0.572031,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial030_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial030_label1_GT.png,0.531341,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial036_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial036_label1_GT.png,0.500243,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial040_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial040_label1_GT.png,0.507694,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial048_label1_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial048_label1_GT.png,0.516781,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial060_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial060_label2_GT.png,0.682906,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial086_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial086_label2_GT.png,0.656194,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial087_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial087_label2_GT.png,0.670145,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial102_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial102_label2_GT.png,0.619558,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial117_label2_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial117_label2_GT.png,0.642512,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial125_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial125_label3_GT.png,0.638251,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial129_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial129_label3_GT.png,0.642103,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial142_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial142_label3_GT.png,0.650182,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial147_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial147_label3_GT.png,0.330814,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial151_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial151_label3_GT.png,0.328949,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial169_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial169_label3_GT.png,0.653633,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial179_label3_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260112_154533_subj16_g1_cls1-3_128\subj16_g1_trial179_label3_GT.png,0.616424,

metric,value
ssim_mean,0.570472
fid,120.709281
