subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial364_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial364_label7_GT.png,0.037320,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial365_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial365_label7_GT.png,0.056885,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial373_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial373_label7_GT.png,0.046121,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial376_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial376_label7_GT.png,0.045997,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial379_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial379_label7_GT.png,0.035483,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial383_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial383_label7_GT.png,0.046686,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial384_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial384_label7_GT.png,0.054898,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial395_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial395_label7_GT.png,0.047103,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial401_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial401_label7_GT.png,0.035996,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial414_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial414_label7_GT.png,0.046792,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial435_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial435_label8_GT.png,0.048791,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial459_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial459_label8_GT.png,0.009935,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial466_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260108_042113_subj14_g3_cls7-9_128\subj14_g3_trial466_label8_GT.png,0.058078,
