subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial203_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial203_label4_GT.png,0.000317,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial204_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial204_label4_GT.png,-0.000001,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial211_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial211_label4_GT.png,0.001023,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial215_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial215_label4_GT.png,0.001302,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial217_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial217_label4_GT.png,-0.012772,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial224_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial224_label4_GT.png,-0.000425,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial230_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial230_label4_GT.png,0.000574,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial243_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial243_label5_GT.png,0.006102,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial251_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial251_label5_GT.png,-0.001407,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial279_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260107_211656_subj14_g2_cls4-6_128\subj14_g2_trial279_label5_GT.png,0.006026,
