subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial365_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial365_label7_GT.png,0.011775,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial387_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial387_label7_GT.png,0.018917,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial403_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial403_label7_GT.png,0.026173,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial417_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial417_label7_GT.png,0.014078,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial418_label7_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial418_label7_GT.png,0.006658,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial420_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial420_label8_GT.png,0.040538,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial429_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial429_label8_GT.png,0.015561,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial430_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial430_label8_GT.png,0.022969,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial432_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial432_label8_GT.png,0.015402,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial434_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial434_label8_GT.png,0.009879,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial439_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial439_label8_GT.png,0.033663,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial452_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial452_label8_GT.png,0.043930,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial466_label8_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial466_label8_GT.png,0.014198,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial506_label9_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial506_label9_GT.png,0.029469,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial510_label9_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial510_label9_GT.png,0.031954,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial519_label9_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial519_label9_GT.png,0.272350,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial535_label9_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial535_label9_GT.png,0.359877,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial539_label9_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260111_072655_subj15_g3_cls7-9_128\subj15_g3_trial539_label9_GT.png,0.221872,

metric,value
ssim_mean,0.066070
fid,307.603926
