subject_id,group_id,gen_path,gt_path,ssim,lpips
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial187_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial187_label4_GT.png,0.002375,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial188_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial188_label4_GT.png,0.004060,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial198_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial198_label4_GT.png,0.009636,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial212_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial212_label4_GT.png,0.000208,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial228_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial228_label4_GT.png,-0.003679,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial232_label4_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial232_label4_GT.png,-0.001504,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial256_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial256_label5_GT.png,0.001023,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial261_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial261_label5_GT.png,0.001663,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial268_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial268_label5_GT.png,0.000184,
,,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial288_label5_GEN.png,C:\Users\Biocomputing\Desktop\workspace_VIVS\test_diffusion_model\for_check_eval\20260113_222558_subj16_g2_cls4-6_128\subj16_g2_trial288_label5_GT.png,0.001706,
